numero_processo;data_distribuicao;codarea_acao;data_atendimento;cod_cliente;cod_usuario;cod_parte_adversa;valor_causa;observacoes;data_encerramento;inclusao;objeto_acao;destino;codprognostico;codassunto;codlocaltramite;uf;codcomarca;statusprocessual;grupo_processo;codigo_fase;data_contratacao;pedido;data_transitojulgado;data_sentenca;data_execucao;migracao;cod_fase_processo;numero_pasta;numero_cnj;data_ultima_visualizacao
Aguardando numeração;;;;Fulano(a) 225;347394;0;0.0;;;18/07/2018 11:51;;;;;;UF;;;;;;;;;;;;1548.0;;18/07/2018 11:51
1,23451E+17;26/06/2018 00:00;Direito Cível;;Fulano(a) 758;301340;0;0.0;;;14/12/2017 18:19;Indenização;Arquivo Morto;Procedência Parcial Provável;Indenização;Juizado Especial Cível;MG;Ipatinga;Autor;Justiça Estadual;Arquivado;14/12/2017 00:00;INDENIZAÇÃO SPC;;;;;;1375.0;0012345-12.2024.1.12.0000;18/10/2018 15:14
Aguardando numeração;;;;Fulano(a) 940;347394;0;0.0;;;22/08/2017 17:16;;;;;;UF;;;;;;;;;;;;1264.0;;22/08/2017 17:16
Aguardando numeração;;;;Fulano(a) 1327;347394;0;0.0;;;29/06/2017 16:11;;;;;;UF;;;;;;;;;;;;1214.0;;28/09/2017 14:34
1,23451E+17;22/10/2014 00:00;Direito Cível;;Fulano(a) 1447;301340;0;15000.0;;07/09/2015 00:00;14/08/2014 11:07;Indenização;;Procedência Provável;Indenização;Juizado Especial Cível;MG;Ipatinga;Autor;Justiça Estadual;Instrução;14/08/2014 00:00;;;;;;;561.0;0012345-12.2024.1.12.0001;22/04/2019 15:26
Aguardando numeração;;;;Fulano(a) 926;347394;0;0.0;;;23/08/2017 09:34;;;;;;UF;;;;;;;;;;;;1265.0;;23/08/2017 09:34
Aguardando numeração;;;;Fulano(a) 927;347394;0;0.0;;;23/08/2017 09:46;;;;;;UF;;;;;;;;;;;;1266.0;;23/08/2017 09:46
Aguardando numeração;;;;Fulano(a) 928;347394;0;0.0;;;18/09/2017 13:24;;;;;;UF;;;;;;;;;;;;1293.0;;18/09/2017 13:24
Aguardando numeração;;;;Fulano(a) 892;347394;0;0.0;;;19/07/2017 10:39;;;;;;UF;;;;;;;;;;;;1229.0;;19/07/2017 10:39
Aguardando numeração;;;;Fulano(a) 599;347394;0;0.0;;;18/09/2017 13:42;;;;;;UF;;;;;;;;;;;;1294.0;;18/09/2017 13:42
Aguardando numeração;;;;Fulano(a) 599;347394;0;0.0;;;18/09/2017 13:42;;;;;;UF;;;;;;;;;;;;1294.0;;18/09/2017 13:42
Aguardando numeração;;;;Fulano(a) 929;347394;0;0.0;;;18/09/2017 13:55;;;;;;UF;;;;;;;;;;;;1295.0;;18/09/2017 13:55
Aguardando numeração;;;;Fulano(a) 1523;347394;0;0.0;;;18/09/2017 14:23;;;;;;UF;;;;;;;;;;;;1297.0;;18/09/2017 14:23
0012345-12.2024.1.12.0003;31/07/2017 00:00;Direito Cível;;Fulano(a) 283;302720;0;15000.0;;;07/08/2017 16:46;Indenização;Mesa Administração 02;Procedência Provável;Indenização;Turma Recursal;MG;Ipatinga;Autor;Justiça Estadual;Instrução;22/08/2014 00:00;;;;;;;1249.0;0012345-12.2024.1.12.0003;02/02/2018 08:46
0012345-12.2024.1.12.0004;04/08/2017 00:00;Direito Cível;;Fulano(a) 268;559945;0;10000.0;;;14/08/2017 20:08;Indenização;Mesa Administração 02;Procedência Parcial Provável;Declaratória de Inexistência de Débito;Turma Recursal;MG;Ipatinga;Recorrente;Justiça Estadual;Instrução;23/02/2016 00:00;;;;;;;1257.0;0012345-12.2024.1.12.0004;31/01/2018 09:59
